year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate,pKN,GVAcorp,Py,real_Y_gro,real_Y_net,real_K_gro,real_K_net,R_gross,R_net,R_net_Knet,g_real_Y_gro_pct,g_real_Y_net_pct,g_real_K_gro_pct,g_real_K_net_pct,g_real_Y_gro_log,g_real_Y_net_log,g_real_K_gro_log,g_real_K_net_log
1957,239.7,50.5,44.5,6.000000000000001,426.5861093605473,61.55584121263325,488.14195057318057,0.5318682177461707,0.2106800166875261,0.112054004990328,235.6,386.9,0.6531743831438868,0.1888794567062818,0.1233712226226781,0.843951225280762,,0.6302120333663015,0.218427615734215,0.1376557118552128,34.9,21.3,35.39736411550324,202.8399622234957,166.5,30.074447867298563,239.7,44.5,0.1236111111111111,0.3033033033033033,17.34134558121361,261.0,16.117464413005926,1619.361416361416,1487.2066341066338,2646.7321312421527,2400.501655134988,0.6118342680947559,0.5619029657559885,0.619539932799173,1.197090763703934,0.6968200881244391,5.187789527686482,3.640176886642088,1.189982305782955,0.6944035165577844,5.057703845051975,3.5754876445408534
1958,233.50000000000003,46.4,39.9,6.499999999999999,442.5900830932797,64.38519516355932,506.975278256839,0.4783444646087522,0.1987152034261241,0.0950543175924886,229.1,394.4,0.5921426725252004,0.1741597555652553,0.1031274231067459,0.798105180263519,,0.5993501563926851,0.217830668543038,0.1305568452583929,30.2,22.7,35.74767783321535,193.29926917880792,164.0,33.240445316331524,233.50000000000003,39.9,0.1033411033411033,0.2829268292682926,17.339403814644832,256.20000000000005,16.49356044869132,1553.333501259446,1415.7040302267003,2683.41141059326,2391.2362720403016,0.5788652068510167,0.5275762131136316,0.5920385395537526,-4.077404490118697,-4.807845946900658,1.3858326998090753,-0.38597695089551687,-4.162861652440153,-4.927266299572874,1.376317844325925,-0.3867237642329435
1959,263.5,57.7,51.1,6.6,469.2512596112735,71.88719080210795,541.1384504133814,0.5197492092829586,0.2189753320683111,0.113812255694978,258.2,411.6,0.6546653144016227,0.1979085979860573,0.1295638945233266,0.861047804355621,,0.603624103857882,0.217780789004854,0.1314577336005175,32.7,23.7,36.59370650021059,222.44262138226296,180.3,30.727640017286085,263.5,51.1,0.1298602287166455,0.3200221852468108,17.69761255001583,287.2,16.7111276321256,1718.615322211318,1576.793653909061,2808.0167295783276,2463.0294798822374,0.6120388472434058,0.5615328560189325,0.6401846452866861,10.640459425993276,11.378764222106863,4.643541370255977,3.0023468898235928,10.111565380007637,10.776649696110674,4.538954451830701,2.9581587320056
1960,275.79999999999995,57.2,50.0,7.299999999999999,484.9322528829036,75.13160245469801,560.0638553376016,0.5096662412166673,0.2073966642494561,0.1057030783088954,269.9,419.9,0.6557337220602526,0.1852537977028529,0.1214771622934888,0.880931198596954,,0.5785539688325321,0.218167608504783,0.1262217357711443,35.6,24.0,36.59362072866615,221.89659941573032,190.7,32.21911092646448,275.79999999999995,50.0,0.1217730150998538,0.2999475616151023,17.550672647731936,299.79999999999995,16.939627839853063,1769.814560475022,1628.1349425584092,2862.7090126621692,2478.8029817994056,0.6182306873129194,0.5687392380283629,0.6568230531078828,2.979098207842501,3.2560562710324703,1.9477192748796224,0.6404106019032518,2.9355851627514973,3.2041700510871074,1.9289939765753772,0.638368686334001
1961,283.40000000000003,58.900000000000006,50.9,8.100000000000009,503.27763471608745,79.95142420211542,583.2290589182029,0.5060137291473112,0.207833450952717,0.1051665795581391,277.5,430.3,0.6608716361038343,0.1834234234234234,0.1212193379376042,0.882777214050293,,0.5732066042185848,0.218892950537896,0.125470884865214,35.2,24.7,36.45789659811367,229.305604,195.6,34.41015659229209,283.40000000000003,50.9,0.1215377268385864,0.3011247443762782,17.543961999809294,308.1,17.120022740690533,1799.6471422185323,1655.3716329267513,2939.7019054180755,2513.4312408199753,0.6121869496024944,0.5631086709423788,0.6586102719033233,1.6856331962543658,1.6728767165664404,2.689511662392352,1.3969750429875694,1.6715840580530106,1.6590382543784088,2.6539799756450932,1.387307280081096
1962,309.9,67.7,58.6,9.1,525.4492389980019,85.59891331410986,611.0481523121117,0.5313521253121632,0.2184575669570829,0.1160778924931702,303.5,444.2,0.7053218684638624,0.1930807248764415,0.1361840576342086,0.939095973968506,,0.5658123770531498,0.219750962514216,0.1243378144598861,38.3,25.6,36.37767004499661,256.4760191749348,211.0,34.86042433234423,309.9,58.6,0.1365649032859473,0.3208530805687204,17.589420133427467,335.5,17.32775020226095,1936.2005804782636,1788.4606852167328,3032.4146693287425,2563.5180263739035,0.6385012577804415,0.5897810425816954,0.6976587122917605,7.5877895758717395,8.039829222799689,3.15381514499109,1.9927652979115473,7.313697552213139,7.732976225013921,3.105103922416408,1.9731696328791237
1963,330.0,74.2,64.3,10.000000000000004,548.4317201515985,92.28682901402844,640.7185491656269,0.5400556384162706,0.2248484848484848,0.1214306920317796,322.8,458.3,0.7266996848266547,0.1991945477075588,0.144754615038271,0.97143566608429,,0.5559355676049584,0.22042486233839,0.1225420209583376,40.4,26.7,36.43688138247444,276.91722280198024,222.7,34.9292543554007,330.0,64.3,0.1451794987581847,0.3331836551414459,17.617396713583393,356.7,17.52563794196751,2035.3039426076105,1882.9557080474108,3129.3110240415535,2615.026063630692,0.6504000167995395,0.6017157430441492,0.7200523674449051,5.118445016934503,5.283595195117563,3.195353052894312,2.0092715060656907,4.99175761819366,5.148742989565047,3.1453637488327857,1.9893520283577715
1964,356.9,82.1,71.1,11.099999999999998,584.416740608418,98.7398099442203,683.1565505526382,0.5570308530395625,0.2300364247688428,0.1281373859191596,349.5,483.9,0.7626009164302858,0.2034334763948497,0.1551385555313113,1.00164115428925,,0.5561181773075443,0.220585358289919,0.1226715273929213,46.1,28.2,36.670274194378734,300.7885880954447,239.2,36.1899629390912,356.9,71.1,0.1555798687089715,0.3432274247491638,17.920503791927498,385.1,17.793497037150416,2164.273831029186,2005.7889646697388,3284.4400366506643,2719.532866359447,0.6589475852438527,0.6106943473734899,0.73754908038851,6.3366402295836455,6.523427826653649,4.957289685087263,3.996396218845244,6.143972698284639,6.319475456241719,4.83833165142169,3.9186060811022827
1965,392.1,94.4,81.8,12.6,629.5138499735924,110.6759004119418,740.1897503855342,0.5739533635194033,0.2407549094618719,0.1381820900694508,384.0,517.4,0.7935523868567886,0.2130208333333333,0.1690431907418888,1.0422728061676,,0.5506747946632219,0.219946910024922,0.121119219514784,55.1,30.5,37.02746967846716,337.3171353176044,259.9,38.26191220368743,392.1,81.8,0.1695688225538971,0.3632166217776068,18.25063185026104,422.6,18.11820785865786,2332.460270335506,2164.12132512672,3474.481885209064,2855.690827902486,0.6713116796679338,0.6228615939370489,0.7578275995361423,7.771033262752214,7.893769646053039,5.786126293606997,5.0066672562523395,7.4838728240570696,7.597694268164901,5.624919339724244,4.885365983213408
1966,429.4,102.0,88.0,13.999999999999996,689.3389442732511,124.34313597668942,813.6820802499404,0.5801215158360993,0.2375407545412202,0.1378025025973034,420.7000000000001,563.4,0.8131039814456901,0.2091751842167815,0.1700811751063007,1.06474781036377,,0.5448440562069824,0.218318123616617,0.118949332014775,63.8,33.5,37.528104903640994,361.0627297805643,288.5,41.55317928286852,429.4,88.0,0.1706418460345161,0.3535528596187175,18.782393828615053,462.9,18.62659348829073,2485.156506427188,2305.30612196983,3700.8320641484524,3024.7076597992605,0.6715129093540787,0.6229156260026818,0.762158324458644,6.546573934557021,6.523885477393154,6.514645533279806,5.918597007958248,6.3412017507018525,6.319905079814525,6.3112306451238,5.7500660342094
