"year","u_shaikh","u_hat","yp_hat","u_case1","u_case2","u_case3","u_case4","u_case5"
1989,0.967775762081146,0.762485647926665,8.60925172571575,NA,0.762485647926665,0.762485647926665,0.798018377363773,0.798018377363773
1990,0.960640132427216,0.754093691603268,8.62833844275733,NA,0.754093691603268,0.754093691603268,0.787330448868076,0.787330448868076
1991,0.958979725837708,0.749335709471,8.62876354669564,NA,0.749335709471,0.749335709471,0.776498548581086,0.776498548581086
1992,0.975646138191223,0.757987418870395,8.64447146812555,NA,0.757987418870395,0.757987418870395,0.782843855583022,0.782843855583022
1993,0.979155540466309,0.759123608236827,8.66712895643487,NA,0.759123608236827,0.759123608236827,0.782889692813293,0.782889692813293
1994,1.01144421100616,0.777420278686968,8.69594951685871,NA,0.777420278686968,0.777420278686968,0.801957561810863,0.801957561810863
1995,1.01938092708588,0.787823966577762,8.72495786496839,NA,0.787823966577762,0.787823966577762,0.812932477749952,0.812932477749952
1996,1.04219925403595,0.797609451865344,8.75125297090292,NA,0.797609451865344,0.797609451865344,0.822664690596567,0.822664690596567
1997,1.07182896137238,0.816780102204576,8.78106267998452,NA,0.816780102204576,0.816780102204576,0.842874131978113,0.842874131978113
1998,1.09457731246948,0.825401430865205,8.81554241956832,NA,0.825401430865205,0.825401430865205,0.85330219829351,0.85330219829351
1999,1.10842335224152,0.836183178662545,8.84970010074043,NA,0.836183178662545,0.836183178662545,0.865926172046472,0.865926172046472
2000,1.11509871482849,0.841967714733928,8.88528634893849,NA,0.841967714733928,0.841967714733928,0.873748542038817,0.873748542038817
2001,1.06325256824493,0.799712505595826,8.91223373968909,NA,0.799712505595826,0.799712505595826,0.829678278347338,0.829678278347338
2002,1.03907012939453,0.778653383784715,8.93641177131555,NA,0.778653383784715,0.778653383784715,0.80700395069373,0.80700395069373
2003,1.04768621921539,0.78172309856973,8.95285168231008,NA,0.78172309856973,0.78172309856973,0.807644728178097,0.807644728178097
2004,1.03787088394165,0.783014792183144,8.99586550286676,NA,0.783014792183144,0.783014792183144,0.812328668308837,0.812328668308837
2005,1.03080022335052,0.783406176273619,9.03991326570211,NA,0.783406176273619,0.783406176273619,0.81633062803899,0.81633062803899
2006,1.0236576795578,0.777456123480348,9.07920027813644,NA,0.777456123480348,0.777456123480348,0.81265541172431,0.81265541172431
2007,0.986203849315643,0.753425120178789,9.10021253994677,NA,0.753425120178789,0.753425120178789,0.786049728549018,0.786049728549018
2008,0.925367593765259,0.695903427695017,9.13665648637914,NA,0.695903427695017,0.695903427695017,0.727733604771959,0.727733604771959
2009,0.899437546730042,0.684903708329832,9.1150945859783,NA,0.684903708329832,0.684903708329832,0.706597615748721,0.706597615748721
2010,0.929295063018799,0.710505120511571,9.1298797391304,NA,0.710505120511571,0.710505120511571,0.730380411064786,0.730380411064786
2011,0.941526174545288,0.72159768890734,9.14916043667036,NA,0.72159768890734,0.72159768890734,0.740032195746621,0.740032195746621
