"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1950,72,2.5,60,11.16,18.52,"ME",83.16,28.8,0.612765957446809,117.5,30.2236111111111,18.2125,135.7125
1951,76.89,2.65,64.03,11.92,16.81,"ME",88.81,29.0150943396226,0.617342432757929,124.55,27.2296202367018,19.3085706853947,143.858570685395
1952,82.11,2.81,68.34,12.73,17.95,"ME",94.84,29.220640569395,0.621715756795639,132.07,28.8717147728657,20.4755949336256,152.545594933626
1953,87.69,2.98,72.93,13.59,19.17,"ME",101.28,29.4261744966443,0.626088819077538,140.06,30.6186589120766,21.7061854259323,161.766185425932
1954,93.64,3.16,77.83,14.51,20.46,"ME",108.15,29.6329113924051,0.63048747643415,148.52,32.4510807347287,23.0139384878257,171.533938487826
1955,100,3.35,83.07,15.5,21.86,"ME",115.5,29.8507462686567,0.635122261035249,157.45,34.41857,24.40475,181.85475
1956,105.39,3.56,88.65,16.34,21.73,"ME",121.73,29.6039325842697,0.629870906048291,167.32,34.4991327450422,25.9418237024386,193.261823702439
1957,111.07,3.77,94.61,17.22,22.9,"ME",128.29,29.4615384615385,0.62684124386252,177.19,36.5323759791123,27.4710704960836,204.661070496084
1958,117.05,4,100.97,18.14,24.12,"ME",135.19,29.2625,0.622606382978723,188,38.7403673643742,29.1355830841521,217.135583084152
1959,123.35,4.24,107.76,19.12,25.43,"ME",142.47,29.0919811320755,0.618978321959052,199.28,41.0838297527361,30.8896116740981,230.169611674098
1960,130,4.5,115,20.15,26.8,"ME",150.15,28.8888888888889,0.614657210401891,211.5,43.6015384615385,32.7825,244.2825
1961,138.74,4.74,121.54,21.51,30.25,"ME",160.25,29.2700421940928,0.622766855193464,222.78,48.5735548508001,34.5394104079573,257.319410407957
1962,148.07,4.98,128.46,22.95,32.28,"ME",171.02,29.7329317269076,0.632615568657609,234.06,51.0262497467414,36.2779563719862,270.337956371986
1963,158.03,5.25,135.77,24.49,34.45,"ME",182.52,30.1009523809524,0.640445795339412,246.75,53.7906568373094,38.2389894323863,284.988989432386
1964,168.66,5.52,143.49,26.14,36.77,"ME",194.8,30.554347826087,0.65009250693802,259.44,56.5611810743508,40.2096620419779,299.649662041978
1965,180,5.81,151.66,27.9,39.24,"ME",207.9,30.9810671256454,0.65917164097118,273.07,59.52926,42.32585,315.39585
1966,193.74,6.11,160.29,30.03,43.77,"ME",223.77,31.708674304419,0.674652644774872,287.17,64.8778305977083,44.5117946732735,331.681794673273
1967,208.52,6.43,169.41,32.32,47.11,"ME",240.84,32.4292379471229,0.689983786108997,302.21,68.2769667178208,46.8416804143487,349.051680414349
1968,224.44,6.77,179.05,34.79,50.7,"ME",259.23,33.152141802068,0.705364719192935,318.19,71.8777089645339,49.3220018713242,367.512001871324
1969,241.56,7.13,189.23,37.44,54.57,"ME",279,33.8793828892006,0.720837933812778,335.11,75.7035630899155,51.9395529061103,387.04955290611
1970,260,7.5,200,40.3,58.74,"ME",300.3,34.6666666666667,0.737588652482269,352.5,79.6378846153846,54.6375,407.1375
1971,283.39,7.98,215.4,43.93,67.32,"ME",327.32,35.5125313283208,0.755585772942996,375.06,89.0964367126575,58.1403218179894,433.200321817989
1972,308.89,8.5,231.99,47.88,73.38,"ME",356.77,36.34,0.773191489361702,399.5,94.9053384700055,61.9251513483765,461.425151348377
1973,336.69,9.04,249.86,52.19,79.98,"ME",388.88,37.2444690265487,0.792435511203163,424.88,100.929348659004,65.860248893641,490.740248893641
1974,366.98,9.63,269.1,56.88,87.17,"ME",423.86,38.1079958463136,0.810808422261991,452.61,107.509983377841,70.1522066597635,522.762206659764
1975,400,10.25,289.83,62,95.02,"ME",462,39.0243902439024,0.83030617540218,481.75,114.4397125,74.67125,556.42125
1976,453.59,10.91,312.15,70.31,123.9,"ME",523.9,41.5756186984418,0.88458763188174,512.77,140.065263784475,79.483363169382,592.253363169382
1977,514.35,11.61,336.19,79.72,140.49,"ME",594.07,44.3023255813954,0.942602671944582,545.67,149.044771653543,84.5743412073491,630.244341207349
1978,583.26,12.36,362.08,90.41,159.32,"ME",673.67,47.1893203883495,1.00402809336914,580.92,158.680818845798,90.0472811439152,670.967281143915
1979,661.4,13.15,389.97,102.52,180.66,"ME",763.92,50.2965779467681,1.07013995631421,618.05,168.819039915331,95.8005533716359,713.850553371636
1980,750,14,420,116.25,204.85,"ME",866.25,53.5714285714286,1.13981762917933,658,179.721733333333,101.99,759.99
1981,809.71,15.18,458.33,125.5,185.21,"ME",935.21,53.3405797101449,1.13490595127968,713.46,163.194139383236,110.58185029208,824.04185029208
1982,874.17,16.47,500.17,135.5,199.96,"ME",1009.67,53.0765027322404,1.12928729217533,774.09,177.067431277669,119.987182127046,894.077182127046
1983,943.76,17.86,545.82,146.28,215.87,"ME",1090.04,52.8421052631579,1.12430011198208,839.42,192.003894422311,130.107609561753,969.527609561753
1984,1018.89,19.36,595.64,157.93,233.06,"ME",1176.82,52.6286157024793,1.11975778090382,909.92,208.134298305018,141.039430753074,1050.95943075307
1985,1100,21,650,170.5,251.61,"ME",1270.5,52.3809523809524,1.1144883485309,987,225.762790909091,152.985,1139.985
1986,1185.6,22.55,708.49,183.77,269.37,"ME",1369.37,52.5764966740576,1.11864886540548,1059.85,240.799421811741,164.27853787112,1224.12853787112
1987,1277.86,24.22,772.23,198.07,290.33,"ME",1475.93,52.7605284888522,1.12256443593303,1138.34,258.631033290032,176.444214389683,1314.78421438968
1988,1377.3,26.01,841.72,213.48,312.92,"ME",1590.78,52.9527104959631,1.12665341480773,1222.47,277.742911783925,189.481518623394,1411.95151862339
1989,1484.48,27.93,917.45,230.09,337.27,"ME",1714.57,53.1500179018976,1.13085144472123,1312.71,298.244302179888,203.466159126428,1516.17615912643
1990,1600,30,1000,248,363.52,"ME",1848,53.3333333333333,1.13475177304965,1410,320.352,218.55,1628.55
1991,1689.43,32.53,1069.61,261.86,351.29,"ME",1951.29,51.934521979711,1.10498982935555,1528.91,317.912428393008,236.979556773586,1765.88955677359
1992,1783.86,35.28,1144.07,276.5,370.93,"ME",2060.36,50.562925170068,1.07580691851209,1658.16,344.792354108506,257.016380209209,1915.17638020921
1993,1883.56,38.26,1223.71,291.95,391.65,"ME",2175.51,49.2305279665447,1.04745804184138,1798.22,373.905191764531,278.722381554078,2076.94238155408
1994,1988.84,41.49,1308.89,308.27,413.55,"ME",2297.11,47.9354061219571,1.01990225791398,1950.03,405.480031827598,302.254453902778,2252.28445390278
1995,2100,45,1400,325.5,436.66,"ME",2425.5,46.6666666666667,0.99290780141844,2115,439.779,327.825,2442.825
1996,2224.37,48.43,1488.17,344.78,469.15,"ME",2569.15,45.9295890976667,0.977225299950356,2276.21,480.083763717367,352.815261759509,2629.02526175951
1997,2356.11,52.13,1581.9,365.2,496.94,"ME",2721.31,45.1968156531748,0.961634375599463,2450.11,516.766052264113,379.770117693996,2829.880117694
1998,2495.64,56.11,1681.53,386.82,526.36,"ME",2882.46,44.4776332204598,0.946332621711911,2637.17,556.210351332724,408.756911814204,3045.9269118142
1999,2643.45,60.39,1787.43,409.73,557.53,"ME",3053.18,43.7729756582216,0.931339907621735,2838.33,598.632137887987,439.936049821256,3278.26604982126
2000,2800,65,1900,434,590.55,"ME",3234,43.0769230769231,0.916530278232406,3055,644.332232142857,473.525,3528.525
2001,2875.79,67.76,1956.53,445.75,521.54,"ME",3321.54,42.4408205430933,0.902996181767942,3184.72,577.566118805615,493.634423932207,3678.35442393221
2002,2953.62,70.63,2014.75,457.81,535.65,"ME",3411.43,41.8182075605267,0.889749097032483,3319.61,602.023651146728,514.538313696413,3834.14831369641
2003,3033.56,73.62,2074.7,470.2,550.14,"ME",3503.76,41.2056506384135,0.876715971030074,3460.14,627.500830575298,536.31964688353,3996.45964688353
2004,3115.67,76.75,2136.43,482.93,565.04,"ME",3598.6,40.5950488599349,0.863724443828401,3607.25,654.190122830723,559.125081443157,4166.37508144316
2005,3200,80,2200,496,580.33,"ME",3696,40,0.851063829787234,3760,681.88775,582.8,4342.8
2006,3394.11,81.54,2256.97,526.09,720.2,"ME",3920.2,41.6250919793966,0.885640254880779,3832.38,813.197001864996,594.022230923571,4426.40223092357
2007,3600,83.11,2315.42,558,763.89,"ME",4158,43.3160871134641,0.921618874754555,3906.17,828.856722583333,605.45635,4511.62635
2008,3566.35,84.71,2375.38,552.78,519.13,"ME",4119.13,42.1006964939204,0.895759499870648,3981.37,579.541718591837,617.107605422911,4598.47760542291
2009,3533.02,86.34,2436.89,547.62,514.29,"ME",4080.64,40.9198517488997,0.87063514359361,4057.98,590.706685555134,628.989082314847,4686.96908231485
2010,3500,88,2500,542.5,509.48,"ME",4042.5,39.7727272727273,0.846228239845261,4136,602.059794285714,641.08,4777.08
2011,3647.1,89.36,2592.84,565.3,712.4,"ME",4212.4,40.8135631154879,0.868373683308253,4199.92,820.38414301774,650.987024211017,4850.90702421102
2012,3800.39,90.74,2689.13,589.06,742.35,"ME",4389.45,41.8821908750276,0.891110444149522,4264.78,833.061720770763,661.040395012091,4925.82039501209
2013,3960.12,92.14,2789,613.82,773.55,"ME",4573.94,42.9793792055568,0.914454876713974,4330.58,845.913800339384,671.241430966738,5001.82143096674
2014,4126.56,93.56,2892.58,639.62,806.06,"ME",4766.18,44.1060282171868,0.938426132280571,4397.32,858.948799775115,681.588009964716,5078.90800996472
2015,4300,95,3000,666.5,839.94,"ME",4966.5,45.2631578947368,0.963045912653975,4465,872.170255813954,692.075,5157.075
2016,4495.55,97.47,3193.74,696.81,892.36,"ME",5192.36,46.122396634862,0.981327587975788,4581.09,909.339562990068,710.068695243074,5291.15869524307
2017,4700,100,3400,728.5,932.95,"ME",5428.5,47,1,4700,932.95,728.5,5428.5
2018,4861.08,103.85,3528.42,753.47,914.55,"ME",5614.55,46.8086663456909,0.995929071184913,4880.95,918.288286245032,756.549860627679,5637.49986062768
2019,5027.69,107.85,3661.69,779.29,945.89,"ME",5806.98,46.6174316179879,0.991860247191233,5068.95,953.652495579481,785.685283997223,5854.63528399722
2020,5200,112,3800,806,978.31,"ME",6006,46.4285714285714,0.987841945288754,5264,990.350738461538,815.92,6079.92
2021,5513.99,116.18,4020.31,854.67,1168.66,"ME",6368.66,47.4607505594767,1.00980320339312,5460.46,1157.31460949331,846.372834952548,6306.83283495255
2022,5846.94,120.51,4253.4,906.28,1239.23,"ME",6753.22,48.5182972367438,1.03230419652646,5663.97,1200.45041390881,877.919515438845,6541.88951543884
2023,6200,125,4500,961,1314.06,"ME",7161,49.6,1.05531914893617,5875,1245.17782258065,910.625,6785.625
