"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
5,4,3,"s1",-264.697914735925,12,60,132.348957367962,-240.697914735925,-215.56577998926,-230.86735522163,-234.059616863584,-235.016511752965,NA,1.15258275748597,0.779357759712246,1.20761655859001,0.994726865742053,0.969294259152907,0.145809020818476,-1.29982853632575,-0.100476571414758,0.444444444444444,FALSE,FALSE,"",-231.181838640931,195
1,5,3,"s1",-262.013077928867,9,60,131.006538964434,-244.013077928867,-225.163976868868,-236.640158293146,-240.413077928867,-235.917656995777,NA,0.517011349927797,0.920424273077842,0.714776933695105,0.991647314269188,1.0074559059792,0.320270128487685,-2.37591622028956,-0.0500495285213844,0.833333333333333,FALSE,FALSE,"",-232.256009800735,196
2,5,3,"s1",-262.214822691021,10,60,131.107411345511,-242.214822691021,-221.2713770688,-234.022689762442,-237.725026772654,-235.275078832518,NA,0.592580340117249,0.906077347482419,0.813386605989363,0.992263485425509,0.983667227737657,0.244617735289382,-1.81141954364758,-0.0625113061814646,0.714285714285714,FALSE,FALSE,"",-231.167920459638,197
3,5,3,"s1",-264.015935236061,11,60,132.00796761803,-242.015935236061,-218.978145051618,-233.004589014624,-236.515935236061,-235.915585252961,NA,0.952839769070618,0.828602802619214,1.04561092832419,0.993714559401215,0.984505781965961,0.18695612238014,-1.69408578205743,-0.0816195202385013,0.625,FALSE,FALSE,"",-231.124898312891,198
4,5,3,"s1",-265.211457241423,12,60,132.605728620712,-241.211457241423,-216.079322494758,-231.380897727129,-234.573159369083,-235.557498157985,NA,1.32479202626752,0.734319486865859,1.29091263369152,0.995247348547829,0.9742572020292,0.139934159547696,-1.39782028570992,-0.105614234354364,0.555555555555556,FALSE,FALSE,"",-230.351602073894,199
5,5,3,"s1",-265.216109706314,13,60,132.608054853157,-239.216109706314,-211.989630397427,-228.566336899161,-231.303066228053,-234.263014202826,NA,1.27683108114279,0.747135570395411,1.26499512783586,0.995085400747167,0.973403751093366,0.140402254231226,-1.37980171806884,-0.10659829023922,0.5,FALSE,FALSE,"",-228.984514831577,200
1,1,4,"s1",-269.505093072493,6,64,134.752546536246,-257.505093072493,-244.551794572335,-252.402134488736,-256.031408861967,-221.565180111569,NA,7.53933745793681,0.00421493239826226,NA,NA,-1.84923996806238,0.71081580814966,41.6124752027731,0.226636664185939,0.5,TRUE,FALSE,"",-221.713842367507,201
2,1,4,"s1",-264.622690703305,7,63,132.311345351653,-250.622690703305,-235.620747618565,-244.722353160784,-248.586327066942,-213.610731380625,NA,6.76700679353814,0.00960780901172023,NA,NA,-1.93119609468281,0.85456112544122,42.8297988488204,0.217492911336109,0.333333333333333,TRUE,FALSE,"",-214.307905097652,202
3,1,4,"s1",-270.98182006695,8,62,135.490910033475,-254.98182006695,-237.964744986589,-248.300487064626,-252.264838934874,-217.0955582949,NA,9.62402210049971,0.000768152435473663,NA,NA,-1.93372722363766,0.75009245295198,42.8983076229133,0.243003737893603,0.25,TRUE,FALSE,"",-216.181595137694,203
4,1,4,"s1",-268.311173511354,9,61,134.155586755677,-250.311173511354,-231.313308733795,-242.865732262647,-246.781761746648,-211.57722015834,NA,7.20694712018803,0.00601592270607719,NA,NA,-2.64100720460615,1.35325499578164,53.5087537969823,0.186397005404377,0.2,TRUE,FALSE,"",-208.872208602266,204
