"year","KNC_NF_corp","KNR_NF_corp","KGC_NF_corp","KGR_NF_corp","IG_cc_NF_corp","IG_R_NF_corp","pK_NF_corp","z_NF_corp","rho_NF_corp","KNC_gov_trans","KNR_gov_trans","KGC_gov_trans","KGR_gov_trans","IG_cc_gov_trans","IG_R_gov_trans","pK_gov_trans","z_gov_trans","rho_gov_trans","KGC_productive","KNC_productive","KNR_productive","KGR_productive","IG_productive","pK_productive","share_NF_corp","share_govt","GVA_NF","CCA_NF","NVA_NF","EC_NF","NOS_NF","TPI_NF","GOS_NF","ProfSh","WageSh","Py_fred","KGC_NF_IPP","KNC_NF_IPP","KNR_NF_IPP","pK_NF_IPP","z_NF_IPP","KGC_fin_corp","KNC_fin_corp","KNR_fin_corp","pK_fin_corp","z_fin_corp","KGC_total","R_NVA_KGC","k_Py","k_pK","y_t","y_GVA","y_GOS","y_NOS"
1969,767094,4523595.9747,974416.586014208,5746188.79325713,88572,522314.009327577,16.9576152311187,0.0239958619170458,0.0383484547061088,199542,2904580.6119,199424.088555477,1451432.13249358,11098,80772.5582355248,13.7398149104543,-0.0343586654638385,0.0124806714990108,1173840.67456969,966636,7428176.5866,7197620.92575071,99670,15.705260401124,0.830109747535726,0.169890252464274,554625,53484,501141,356064,94896,50181,148380,0.189359880752124,0.710506623884296,19.176,70589.7669677946,70510,271345.6971,25.9853024218087,0.142171131040942,40867.3012960827,32552,138062.23672,23.5777724404232,0.0197368379531156,1244430.44153748,0.42692420773689,15.6273022474064,15.826966030907,14.7761534664528,14.8775581775372,13.5590425185995,13.1120475229345
1970,843414,4703627.83242,1081854.46166378,6033384.26503413,90918,507039.763707932,17.9311380502242,0.0179970654562517,0.0382591487750829,232682,3019558.5504,232687.877490114,1509817.41185331,11802,76578.3988701765,15.411656778053,-0.0476673433584583,0.0125345988304633,1314542.33915389,1076096,7723186.38282,7543201.67688743,102720,16.815852800848,0.822989438560127,0.177010561439873,572890,59260,513630,374485,84896,54249,144156,0.165286295582423,0.729094873741799,20.189,77993.039518468,77531,283373.93568,27.3599616047793,0.146376461519204,46155.2798931773,36504,147389.44178,24.7670386420809,0.0226063531187034,1392535.37867236,0.390729141771576,15.6890314163155,15.8718472573649,14.749290725227,14.8584812895511,13.4786836098694,12.9492145412975
1971,921543,4859509.07508,1194039.9917694,6296448.64755293,93782,494534.145535425,18.9637057110513,0.0175485576449425,0.0383648302260611,248701,3119294.2028,249997.519840251,1567777.80216419,12277,76991.1961105416,15.9459790472317,-0.0077715767242371,0.0126047068011333,1444037.51160966,1170244,7978803.27788,7864226.44971712,106059,17.7012143628226,0.826876020996448,0.173123979003552,618097,64732,553365,396190,97659,59516,162391,0.176482068797268,0.715965050192911,21.212,83282.1233125717,82507,292466.14752,28.2107863421553,0.170598650874478,52909.508136876,41667,158399.13742,26.3050674887949,0.0111681722084293,1527319.63492223,0.383206804221567,15.7335567023797,15.9144905163592,14.774376225656,14.8850038087652,13.548365413168,13.0398402246696
1972,998403,5044776.38082,1304820.91954527,6593058.871139,106816,539724.774358319,19.790827672677,0.0311478064374415,0.0386113767269004,269509,3216166.41995,271606.057903434,1620595.75539967,12183,72692.480574398,16.7596426806913,-0.0164982549493413,0.0126768776235283,1576426.9774487,1267912,8260942.80077,8213654.62653867,118999,18.523535962327,0.827707808995376,0.172292191004624,685949,70188,615761,439924,112172,63665,182360,0.182168081447185,0.7144395309219,22.13,89469.2976461769,88668,303326.28944,29.2318876031809,0.167802474901425,59819.0227085433,46783,168477.74604,27.7680590461442,0.0179381919445609,1665896.27509488,0.390605469716429,15.7789074694087,15.9567994857863,14.8388502121414,14.9467945918462,13.6219740662525,13.1360247184848
1973,1124922,5270238.41652,1477716.03385701,6923071.83106097,124968,585472.730052103,21.3448028551012,-0.00144038214696822,0.0387467752257461,318487,3305681.81115,320707.517910364,1664364.65013541,12419,64450.45231465,19.2690656992908,-0.0589922739838481,0.0127617004487403,1798423.55176737,1443409,8575920.22767,8587436.48119638,137387,20.3129533924128,0.821672977094192,0.178327022905808,768838,78180,690658,495100,125483,70075,203663,0.181686160154519,0.716852624598571,23.342,98902.4780048067,98449,314659.98406,31.2874229286262,0.135138012852447,69547.1151380051,54324,183489.48238,29.606056595384,0.00890143164883322,1897326.02977218,0.384035228698639,15.8573369075497,15.9963324398418,14.9003159183501,15.0075514360941,13.6791378190482,13.1948414432093
1974,1372198,5484216.24366,1805742.48970474,7216948.49715988,140734,562466.705850939,25.0208587523572,-0.0807957229751835,0.0387963676105417,425424,3380043.02195,428022.989138935,1700346.14604869,14448,57395.5178611616,25.1726973436312,-0.111147393205346,0.0128661840697797,2233765.47884368,1797622,8864259.26561,8917294.64320857,155182,24.474865861202,0.808384992429687,0.191615007570313,830040,91384,738656,542933,121293,74430,212677,0.164207696140016,0.735028213403804,25.443,111932.969962018,111927,325046.57328,34.4341424278251,0.11028101975577,86677.1930933764,68067,202454.25484,33.6209283691239,-0.0539463965790452,2345698.44880569,0.330677507104448,15.9879288049049,16.0267227531965,14.8813171275841,14.997958701323,13.6362593917605,13.0746939150458
1975,1518805,5618817.9234,2017964.2211729,7465457.0762581,143302,530145.638221541,27.030685469889,-0.00222946076556173,0.0390243964237999,420686,3448809.5208,424888.322875444,1741630.2101919,15458,63362.8140376984,24.3960124479369,0.0244920020790888,0.0129848560222896,2442852.54404834,1939491,9067627.4442,9207087.28645,158760,25.814189636303,0.826068780160054,0.173931219839946,898280,107724,790556,569021,141341,80194,249065,0.178786828510567,0.71977317229899,27.8,121619.26956401,121477,333349.53062,36.441329248031,0.153278193059386,99156.4820877911,77233,219589.52298,35.1715322989405,0.0336065941105921,2564471.81361235,0.323620024436627,15.988811155154,16.0629228492066,14.8606259396538,14.988371267984,13.7056033508489,13.1390648546493
1976,1666379,5767099.32216,2232320.5809964,7725742.16880324,160253,554612.70675765,28.8945777922874,0.00780950828181474,0.0394252637455447,416190,3522113.4632,421052.555807371,1781632.0376798,14840,62793.6324682092,23.6329694854221,0.0237235203326437,0.0130864777419046,2653373.13680377,2082569,9289212.78536,9507374.20648303,175093,27.057326601221,0.841314231320452,0.158685768679548,1014666,118272,896394,640004,169722,86668,287994,0.189338616724342,0.713976220278137,29.33,133187.821539786,132936,347271.98,38.2800823723238,0.161527853619374,113042.672448641,87181,236790.13056,36.8178351833415,0.0344720494581065,2786560.95834356,0.337831866753497,16.0179015733466,16.0985546336986,14.9326946304448,15.0566293552639,13.7972542285665,13.2684763863606
1977,1850996,5959628.70096,2495299.36981849,8034084.21296299,191207,615626.789590285,31.0589147894706,0.00367910096584308,0.0397741393275265,421372,3595020.92995,426976.087963968,1821416.67317553,14834,63279.6442037894,23.4419775690074,0.0116901403360646,0.0131873519397732,2922275.45778245,2272368,9554649.63091,9855500.88613852,206041,28.7030663199958,0.853889171595077,0.146110828404922,1147401,132560,1014841,723326,196884,94631,329444,0.194004775132262,0.71274810536823,31.152,146600.182654604,145834,363214.9209,40.1508835701579,0.163404917421676,130502.636299769,99426,253566.03178,39.2110880554634,0.0203881642382241,3068875.64043706,0.347277665867305,16.0541648744962,16.1360393656495,14.996534245299,15.1193016800434,13.8714534013626,13.3566617391611
1978,2097947,6206032.52874,2838073.70926873,8395435.04134448,230684,682396.842179453,33.8049629982514,-0.00807435423614423,0.0399604989551834,445474,3684844.6911,451366.418850901,1866792.62116707,16822,69573.5973296805,24.1787123932769,-0.00837523085585297,0.0132850707334038,3289440.12811963,2543421,9890877.21984,10262227.6625116,247506,31.0347204462857,0.862783208913755,0.137216791086244,1303931,150152,1153779,829499,221554,102726,371706,0.19202464250086,0.718940975698119,33.343,164637.199493841,163161,381336.20422,42.7866534030609,0.147116443091896,153275.415193957,116204,277202.5742,41.9202456309657,0.0153910555790552,3454077.32761347,0.350752394043282,16.1045502651465,16.1762915282913,15.0568755306212,15.1792164366683,13.9241808289151,13.4067439617898
