"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_ALL_D_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_ALL_D_real","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_ALL_p_K","yk_ratio_real","iy_ratio_nom","dy_ratio_nom","ik_ratio_nom","dk_ratio_nom","yk_ratio_NR_real"
1954,391.1,2703.48568545459,14.466509,392.6,1.5,93.64,286.77,312.94,11.54,380.41,693.35,704.89,108.15,297.67,321.7,13.85,405.82,727.52,741.37,20.46,32.39,41.9,3.32,52.85,94.75,98.07,14.51,10.9,8.76,2.31,25.41,34.17,36.48,148.52,1171.8,1329.3,6.72,1320.32,2649.62,2656.34,171.533938487826,1216.33959619207,1366.51054515243,8.06516464471404,1387.8735346799,2754.38407983232,2762.44924447704,32.4510807347287,132.352066115702,177.981945420847,1.93331022530329,164.803146850431,342.785092271279,344.718402496582,23.0139384878257,44.5395961920703,37.2105451524254,1.34516464471404,67.553534679896,104.764079832321,106.109244477035,0.63048747643415,0.244726062467998,0.235417136838938,1.7172619047619,0.288119546776539,0.261679033219858,0.265361361873857,1.02032958894279,0.242265405267195,0.087368959345436,0.136655368861325,0.0492824691714141,2.04759882865865
1955,426.2,2907.52408838,14.65852,428,1.80000000000001,100,310,350,12.65,410,760,772.65,115.5,321.78,359.8,15.18,437.28,797.08,812.26,21.86,35.01,46.86,3.64,56.87,103.73,107.37,15.5,11.78,9.8,2.53,27.28,37.08,39.61,157.45,1237.95,1409.1,7.56,1395.4,2804.5,2812.06,181.85475,1284.9921,1448.5548,9.072,1466.84685,2915.40165,2924.47365,34.41857,139.808482258064,188.65836,2.17536758893281,174.227052258064,362.885412258064,365.060779846997,24.40475,47.0421,39.4548,1.512,71.44685,110.90165,112.41365,0.635122261035249,0.250413990872006,0.248385494287134,1.67328042328042,0.293822559839473,0.270993046888929,0.274762985142565,1.03673527843822,0.243383388080713,0.0870014077897701,0.136486842105263,0.0487894736842105,2.08364919620181
1956,450.1,2984.22359466009,15.08265,452.3,2.19999999999999,105.39,330.97,375.88,13.86,436.36,812.24,826.1,121.73,343.55,386.4,16.63,465.28,851.68,868.31,21.73,33.55,36.4,3.98,55.28,91.68,95.66,16.34,12.58,10.52,2.77,28.92,39.44,42.21,167.32,1305.45,1493.1,8.68,1472.77,2965.87,2974.55,193.261823702439,1355.06948514971,1534.88836862829,10.4147474747475,1548.33130885215,3083.21967748044,3093.63442495518,34.4991327450422,132.331774783213,144.590933276578,2.49252525252525,166.830907528255,311.421840804833,313.914366057358,25.9418237024386,49.6194851497115,41.7883686282856,1.73474747474747,75.56130885215,117.349677480436,119.084424955183,0.629870906048291,0.253529434294688,0.251744692251021,1.59677419354839,0.296285231230946,0.273862306844197,0.277722680741625,1.00618826673458,0.203688069317929,0.0876249722283937,0.112873042450507,0.0485570767260908,2.02626587631476
1957,474.9,3045.93629830549,15.591265,477.5,2.60000000000002,111.07,353.35,403.67,15.19,464.42,868.09,883.28,128.29,366.78,414.97,18.23,495.07,910.04,928.27,22.9,35.81,39.09,4.37,58.71,97.8,102.17,17.22,13.43,11.3,3.04,30.65,41.95,44.99,177.19,1378.35,1585.5,9.8,1555.54,3141.04,3150.84,204.661070496084,1430.73783217773,1629.88315951148,11.7612903225806,1635.39890267381,3265.28206218529,3277.04335250787,36.5323759791123,139.687883118721,153.534310203879,2.81935483870968,176.220259097833,329.754569301713,332.573924140422,27.4710704960836,52.3878321777275,44.3831595114822,1.96129032258065,79.858902673811,124.242062185293,126.203352507874,0.62684124386252,0.256357238727464,0.254601072216966,1.55,0.298558699872713,0.276370246797239,0.280331594114585,0.969722225220147,0.205938092229943,0.0883343861865656,0.112661129606377,0.048324482484535,1.9581214872684
1958,482,3018.45030882441,15.968459,484.8,2.80000000000001,117.05,377.25,433.52,16.65,494.3,927.82,944.47,135.19,391.59,445.66,19.98,526.78,972.44,992.42,24.12,38.24,41.99,4.79,62.36,104.35,109.14,18.14,14.34,12.14,3.33,32.48,44.62,47.95,188,1453.95,1680,10.92,1641.95,3321.95,3332.87,217.135583084152,1509.21744333996,1727.04558036538,13.104,1726.35302642411,3453.39860678949,3466.50260678949,38.7403673643742,147.379848906561,162.721904410408,3.14154954954955,186.120216270935,348.842120681343,351.983670230892,29.1355830841521,55.2674433399602,47.0455803653811,2.184,84.4030264241123,131.448606789493,133.632606789493,0.622606382978723,0.259465593727432,0.258047619047619,1.52472527472527,0.301044489783489,0.279299808847213,0.283380389874193,0.908638091730583,0.21649377593361,0.0925726141078838,0.112467935590955,0.0480912245909767,1.83833265862201
1959,522.5,3220.78244856642,16.222766,525.3,2.79999999999995,123.35,402.76,465.57,18.25,526.11,991.68,1009.93,142.47,418.06,478.61,21.9,560.53,1039.14,1061.04,25.43,40.81,45.09,5.25,66.24,111.33,116.58,19.12,15.3,13.04,3.65,34.42,47.46,51.11,199.28,1534.95,1782.9,12.32,1734.23,3517.13,3529.45,230.169611674098,1593.25950193664,1832.83667117727,14.784,1823.42911361074,3656.265784788,3671.049784788,41.0838297527361,155.530115949945,172.672124492558,3.5441095890411,196.613945702682,369.286070195239,372.83017978428,30.8896116740981,58.3095019366372,49.9366711772666,2.464,89.1991136107353,139.135784788002,141.599784788002,0.618978321959052,0.262392911821232,0.26113074204947,1.48133116883117,0.303368065366186,0.281957163937642,0.286143733442888,0.91574165543111,0.213071770334928,0.0908325358851675,0.11226403678606,0.0478581800580833,1.85718298528247
1960,543.3,3296.4550639417,16.481341,546.4,3.10000000000002,130,430,500,20,560,1060,1080,150.15,446.34,514,24,596.49,1110.49,1134.49,26.8,43.58,48.43,5.75,70.38,118.81,124.56,20.15,16.34,14,4,36.49,50.49,54.49,211.5,1620,1890,14,1831.5,3721.5,3735.5,244.2825,1681.56,1942.92,16.8,1925.8425,3868.7625,3885.5625,43.6015384615385,164.18511627907,183.0654,4.025,207.786654740608,390.852054740608,394.877054740608,32.7825,61.56,52.92,2.8,94.3425,147.2625,150.0625,0.614657210401891,0.265432098765432,0.264550264550265,1.42857142857143,0.305760305760306,0.284831385194142,0.289117922634186,0.885786662351659,0.218682127737898,0.0929320817228051,0.112084905660377,0.0476320754716981,1.79986626477843
1961,563.3,3381.21395605214,16.659697,566.4,3.10000000000002,138.74,453.33,531.71,21.92,592.07,1123.78,1145.7,160.25,470.56,546.6,26.3,630.81,1177.41,1203.71,30.25,40.56,46.6,6.3,70.81,117.41,123.71,21.51,17.23,14.89,4.38,38.74,53.63,58.01,222.78,1705.05,1988.7,15.68,1927.83,3916.53,3932.21,257.319410407957,1769.85491363907,2044.39152921705,18.8131386861314,2027.17432404703,4071.56585326408,4090.37899195021,48.5735548508001,152.552948183443,174.293167328055,4.50656934306569,201.126503034243,375.419670362297,379.926239705363,34.5394104079573,64.8049136390709,55.6915292170544,3.13313868613139,99.3443240470282,155.035853264083,158.168991950214,0.622766855193464,0.265874901029295,0.267365615728868,1.39795918367347,0.307117328810113,0.286932565306534,0.29136287227793,0.863318793945697,0.208432451624356,0.0952068169714184,0.104477744754311,0.0477228639057467,1.75389632698534
1962,605.1,3585.6496505636,16.875603,608.7,3.60000000000002,148.07,477.92,565.44,24.02,625.99,1191.43,1215.45,171.02,496.08,581.27,28.82,667.1,1248.37,1277.19,32.28,42.75,49.56,6.9,75.03,124.59,131.49,22.95,18.16,15.83,4.8,41.11,56.94,61.74,234.06,1794.15,2093.7,17.36,2028.21,4121.91,4139.27,270.337956371986,1862.32409608303,2152.31500955009,20.8291090757702,2132.66205245501,4284.9770620051,4305.80617108087,51.0262497467414,160.48692772849,183.509783531409,4.98684429641965,211.513177475232,395.022961006641,400.00980530306,36.2779563719862,68.1740960830264,58.6150095500849,3.46910907577019,104.452052455013,163.067062005098,166.536171080868,0.632615568657609,0.266376835827551,0.270067344891818,1.38364055299539,0.308641610089685,0.289048038409378,0.293638733399851,0.869900034344175,0.205899851264254,0.0941001487357462,0.104571817060171,0.0477913096027463,1.76788875440097
1963,638.6,3739.71950464001,17.076147,642.4,3.79999999999995,158.03,503.85,601.3,26.33,661.88,1263.18,1289.51,182.52,523,618.14,31.6,705.52,1323.66,1355.26,34.45,45.08,52.7,7.58,79.53,132.23,139.81,24.49,19.15,16.84,5.27,43.64,60.48,65.75,246.75,1888.65,2202.9,19.6,2135.4,4338.3,4357.9,284.988989432386,1960.43256921703,2264.59438882421,23.5229775921003,2245.42155864942,4510.01594747363,4533.53892506573,53.7906568373094,168.979541530217,193.069732246799,5.6425370300038,222.770198367527,415.839930614325,421.482467644329,38.2389894323863,71.7825692170289,61.6943888242142,3.92297759210027,110.021558649415,171.715947473629,175.63892506573,0.640445795339412,0.266777857199587,0.272958373053702,1.34336734693878,0.309955980144235,0.291169352050342,0.295901695770899,0.862024181047878,0.207062323833386,0.0947071719386157,0.104680251428933,0.047879162114663,1.75129694888078
1964,685.8,3956.41642130885,17.333868,690,4.20000000000005,168.66,531.18,639.44,28.85,699.84,1339.28,1368.13,194.8,551.36,657.34,34.62,746.16,1403.5,1438.12,36.77,47.51,56.04,8.3,84.28,140.32,148.62,26.14,20.18,17.9,5.77,46.32,64.22,69.99,259.44,1987.2,2318.4,21.84,2246.64,4565.04,4586.88,299.649662041978,2062.6954930532,2383.29953709496,26.208,2362.34515509518,4745.64469219014,4771.85269219014,56.5611810743508,177.739884784819,203.182684849243,6.2832582322357,234.301065859169,437.483750708413,443.767008940648,40.2096620419779,75.4954930532023,64.8995370949581,4.368,115.70515509518,180.604692190138,184.972692190138,0.65009250693802,0.267300724637681,0.275810904071774,1.3209706959707,0.311505181070398,0.293377495049331,0.298270283940282,0.866677273651239,0.204607757363663,0.0936424613589968,0.104772713696912,0.0479511379248551,1.76103711378274
1965,743.7,4208.60153948686,17.670953,748.6,4.89999999999998,180,560,680,31.62,740,1420,1451.62,207.9,581.28,699.04,37.94,789.18,1488.22,1526.16,39.24,50.1,59.6,9.09,89.34,148.94,158.03,27.9,21.28,19.04,6.32,49.18,68.22,74.54,273.07,2091.15,2440.2,24.36,2364.22,4804.42,4828.78,315.39585,2170.6137,2508.5256,29.2289184060721,2486.00955,4994.53515,5023.76406840607,59.52926,187.083241071429,213.876352941176,7.00292220113852,246.612501071429,460.488854012605,467.491776213743,42.32585,79.4637,68.3256,4.86891840607211,121.78955,190.11515,194.984068406072,0.65917164097118,0.267795232288454,0.278665683140726,1.29802955665025,0.312999636243666,0.295561170755263,0.300618375655963,0.875985350882492,0.20026892564206,0.0917305365066559,0.104887323943662,0.0480422535211268,1.78012263642422
1966,815,4477.79981026216,18.200903,820.4,5.39999999999998,193.74,599.9,728.55,34.66,793.64,1522.19,1556.85,223.77,622.7,748.95,41.59,846.47,1595.42,1637.01,43.77,62.7,68.95,9.96,106.47,175.42,185.38,30.03,22.8,20.4,6.93,52.83,73.23,80.16,287.17,2200.5,2568.3,27.16,2487.67,5055.97,5083.13,331.681794673273,2284.13293882314,2640.2145151328,32.5904327755337,2615.81473349641,5256.02924862921,5288.61968140474,64.8778305977083,229.990581763627,243.064010706197,7.80477784189267,294.868412361336,537.932423067533,545.737200909425,44.5117946732735,83.6329388231372,71.914515132798,5.43043277553376,128.144733496411,200.059248629209,205.489681404742,0.674652644774872,0.272619859122927,0.283670131993926,1.27614138438881,0.319029453263496,0.301067846525988,0.306277824883487,0.885646040277565,0.215239263803681,0.0898527607361963,0.115241855484532,0.0481083176213219,1.79999751183323
1967,861.7,4594.57011070317,18.754747,867.8,6.09999999999991,208.52,642.63,780.57,37.98,851.15,1631.72,1669.7,240.84,667.05,802.43,45.58,907.89,1710.32,1755.9,47.11,67.16,73.88,10.93,114.27,188.15,199.08,32.32,24.42,21.86,7.6,56.74,78.6,86.2,302.21,2316.6,2702.7,30.24,2618.81,5321.51,5351.75,349.051680414349,2404.63101629242,2778.38958837772,36.2911848341232,2753.68269670677,5532.0722850845,5568.36346991862,68.2769667178208,242.103319172774,255.807263922518,8.70255924170616,310.380285890595,566.187549813113,574.89010905482,46.8416804143487,88.0310162924233,75.689588377724,6.05118483412322,134.872696706772,210.562285084496,216.613469918619,0.689983786108997,0.277402227402227,0.288811188811189,1.25595238095238,0.325014033091366,0.306627254294364,0.311991404680712,0.863395936623847,0.21834745270976,0.0912150400371359,0.115307773392494,0.0481700291716716,1.75444958233059
1968,942.5,4819.89571126447,19.554365,949.4,6.89999999999998,224.44,688.42,836.31,41.63,912.86,1749.17,1790.8,259.23,714.58,859.73,49.96,973.81,1833.54,1883.5,50.7,71.94,79.15,11.97,122.64,201.79,213.76,34.79,26.16,23.42,8.33,60.95,84.37,92.7,318.19,2438.1,2843.4,33.6,2756.29,5599.69,5633.29,367.512001871324,2530.74794166352,2923.02648778563,40.3232284410281,2898.25994353484,5821.28643132047,5861.6096597615,71.8777089645339,254.781839574678,269.104889335294,9.66110977660341,326.659548539212,595.764437874506,605.42554765111,49.3220018713242,92.6479416635194,79.6264877856297,6.7232284410281,141.969943534844,221.596431320473,228.319659761501,0.705364719192935,0.28235921414216,0.294123232749525,1.2389880952381,0.33119156547388,0.312369077573937,0.317895936477618,0.86074331101623,0.214100795755968,0.0895172413793103,0.115363286587353,0.0482343054134247,1.74868961947562
1969,1019.9,4977.00835877794,20.49223,1028,8.10000000000002,241.56,737.46,896.02,45.62,979.02,1875.04,1920.66,279,765.48,921.11,54.74,1044.48,1965.59,2020.33,54.57,77.06,84.8,13.11,131.63,216.43,229.54,37.44,28.02,25.09,9.12,65.46,90.55,99.67,335.11,2565,2992.5,37.52,2900.11,5892.61,5930.13,387.04955290611,2662.45789602148,3076.29480926765,45.0207102148181,3049.50744892759,6125.80225819524,6170.82296841006,75.7035630899155,268.026604832804,283.212428294011,10.782270933801,343.73016792272,626.942596216731,637.724867150532,51.9395529061103,97.4578960214791,83.7948092676503,7.50071021481806,149.397448927589,233.19225819524,240.692968410058,0.720837933812778,0.287508771929825,0.299421888053467,1.21588486140725,0.337580298678326,0.318201951257592,0.323881601246516,0.844618659435792,0.212207079125404,0.0887832140405922,0.115426870893421,0.0482923030975339,1.71614468374577
1970,1075.9,4979.85701298003,21.605038,1085.6,9.69999999999982,260,790,960,50,1050,2010,2060,300.3,820.02,986.88,60,1120.32,2107.2,2167.2,58.74,82.56,90.86,14.38,141.3,232.16,246.54,40.3,30.02,26.88,10,70.32,97.2,107.2,352.5,2700,3150,42,3052.5,6202.5,6244.5,407.1375,2802.6,3238.2,50.4,3209.7375,6447.9375,6498.3375,79.6378846153846,282.167088607595,298.134375,12.0792,361.80497322298,659.93934822298,672.01854822298,54.6375,102.6,88.2,8.4,157.2375,245.4375,253.8375,0.737588652482269,0.292592592592593,0.304761904761905,1.19047619047619,0.343980343980344,0.324062877871826,0.329890303467051,0.802879002495773,0.215782135886235,0.0903429686773864,0.115502487562189,0.0483582089552239,1.63140278885505
1971,1167.8,5141.03123592495,22.715287,1178.7,10.9000000000001,283.39,872.75,1082.49,55.01,1156.14,2238.63,2293.64,327.32,905.91,1112.8,66.01,1233.23,2346.03,2412.04,67.32,115.91,152.8,16.01,183.23,336.03,352.04,43.93,33.16,30.31,11,77.09,107.4,118.4,375.06,2829.6,3341.1,47.32,3204.66,6545.76,6593.08,433.200321817989,2937.11021025494,3434.65166421861,56.7822795855299,3370.31053207293,6804.96219629154,6861.74447587707,89.0964367126575,375.799411057004,471.616439874733,13.7719178331213,464.895847769661,936.512287644394,950.284205477516,58.1403218179894,107.510210254941,93.5516642186071,9.4622795855299,165.650532072931,259.202196291538,268.664475877068,0.755585772942996,0.308435821317501,0.323992098410703,1.16251056635672,0.360768381045103,0.341996956808682,0.347885965284814,0.785398675772554,0.287746189415996,0.0919678027059428,0.150105198268584,0.0479757708955924,1.60423609241696
1972,1282.4,5412.11956901567,23.694968,1295,12.5999999999999,308.89,964.17,1220.61,60.53,1273.06,2493.67,2554.2,356.77,1000.81,1254.79,72.64,1357.58,2612.37,2685.01,73.38,128.06,172.3,17.63,201.44,373.74,391.37,47.88,36.64,34.18,12.11,84.52,118.7,130.81,399.5,2965.95,3542.7,53.48,3365.45,6908.15,6961.63,461.425151348377,3078.66083730048,3641.90407501167,64.1795341153147,3540.08598864885,7181.99006366053,7246.16959777584,94.9053384700055,393.934220106413,500.083736820115,15.5766132496283,488.839558576418,988.923295396533,1004.49990864616,61.9251513483765,112.710837300476,99.2040750116745,10.6995341153147,174.635988648853,273.840063660527,284.539597775842,0.773191489361702,0.325079654073737,0.3445422982471,1.13182498130142,0.37827333640375,0.360975080158943,0.366896833069267,0.783439787644401,0.291437928883344,0.09256082345602,0.14987548472733,0.0476005245281052,1.60814142804548
1973,1428.5,5715.21939921102,24.994666,1444.4,15.9000000000001,336.69,1065.16,1376.36,66.6,1401.85,2778.21,2844.81,388.88,1105.64,1414.9,79.92,1494.52,2909.42,2989.34,79.98,141.47,194.28,19.39,221.45,415.73,435.12,52.19,40.48,38.54,13.32,92.67,131.21,144.53,424.88,3109.05,3756.9,60.2,3533.93,7290.83,7351.03,490.740248893641,3227.20534192046,3862.0984408149,72.24,3717.9455908141,7580.04403162901,7652.28403162901,100.929348659004,412.930736696834,530.304958005173,17.5266966966967,513.860085355838,1044.16504336101,1061.69174005771,65.860248893641,118.155341920463,105.198440814903,12.04,184.015590814104,289.214031629007,301.254031629007,0.792435511203163,0.342599829529921,0.366355239692299,1.1063122923588,0.396683012962905,0.381055380525948,0.386994747674816,0.783891463552301,0.291025551277564,0.091851592579629,0.149639516091296,0.0472282512841002,1.61724182403472
1974,1548.8,5700.77686703663,27.168227,1567.8,19,366.98,1176.74,1551.97,73.28,1543.72,3095.69,3168.97,423.86,1221.46,1595.43,87.94,1645.32,3240.75,3328.69,87.17,156.29,219.08,21.34,243.46,462.54,483.88,56.88,44.72,43.46,14.66,101.6,145.06,159.72,452.61,3258.9,3985.8,68.04,3711.51,7697.31,7765.35,522.762206659764,3382.74894539151,4097.41483018357,81.6517139737991,3905.51115205127,8002.92598223484,8084.57769620864,107.509983377841,432.834339786189,562.645582066664,19.8140502183406,540.34432316403,1102.98990523069,1122.80395544903,70.1522066597635,123.848945391505,111.614830183573,13.6117139737991,194.001152051269,305.615982234842,319.227696208641,0.810808422261991,0.361085028690662,0.389374780470671,1.07701352145797,0.415927749083257,0.40217816354025,0.408091071233106,0.740619367939791,0.298644111570248,0.0936596074380165,0.149414185528913,0.0468586970917631,1.53597238510381
1975,1688.9,5713.74518895483,29.558546,1712.1,23.1999999999998,400,1300,1750,80.62,1700,3450,3530.62,462,1349.4,1799,96.74,1811.4,3610.4,3707.14,95.02,172.66,247.03,23.47,267.68,514.71,538.18,62,49.4,49,16.12,111.4,160.4,176.52,481.75,3415.5,4225.2,76.72,3897.25,8122.45,8199.17,556.42125,3545.289,4343.5056,92.0601935003721,4101.71025,8445.21585,8537.27604350037,114.4397125,453.630946153846,596.429232,22.3346365666088,568.070658653846,1164.49989065385,1186.83452722046,74.67125,129.789,118.3056,15.3401935003721,204.46025,322.76585,338.106043500372,0.83030617540218,0.38061777192212,0.414181577203446,1.05083420229406,0.436205016357688,0.424748690358205,0.430607000464681,0.703450952477988,0.304760494996743,0.0949730593877672,0.149191304347826,0.0464927536231884,1.46609665506571
1976,1877.6,6017.53269814007,31.202157,1903.7,26.1000000000001,453.59,1469.59,1986.7,88.71,1923.18,3909.88,3998.59,523.9,1525.43,2042.33,106.45,2049.33,4091.66,4198.11,123.9,225.43,292.33,25.82,349.33,641.66,667.48,70.31,55.84,55.63,17.74,126.15,181.78,199.52,512.77,3580.2,4481.4,86.52,4092.97,8574.37,8660.89,592.253363169382,3716.23683204159,4606.88461368098,103.822049374366,4308.49019521097,8915.37480889195,9019.19685826632,140.065263784475,549.190240815466,659.408900186238,25.1825769360839,689.255504599941,1348.66440478618,1373.84698172226,79.483363169382,136.03683204159,125.484613680978,17.3020493743659,215.520195210972,341.00480889195,358.306858266316,0.88458763188174,0.410477068320206,0.443321283527469,1.0253120665742,0.469873954609978,0.455996183976199,0.461683499039937,0.701804645488831,0.341744780570942,0.0968150830847891,0.164112453579138,0.046492475472393,1.4702117773011
1977,2086,6289.61424282241,33.165786,2114.1,28.0999999999999,514.35,1661.31,2255.43,97.6,2175.66,4431.09,4528.69,594.07,1724.44,2318.58,117.12,2318.51,4637.09,4754.21,140.49,254.85,331.87,28.41,395.34,727.21,755.62,79.72,63.13,63.15,19.52,142.85,206,225.52,545.67,3751.65,4754.4,97.44,4297.32,9051.72,9149.16,630.244341207349,3894.21319681456,4887.518899722,116.928,4524.45753802191,9411.97643774392,9528.90443774391,149.044771653543,575.514505119454,699.575126694245,28.3634262295082,724.559276772997,1424.13440346724,1452.49782969675,84.5743412073491,142.563196814562,133.118899722004,19.488,227.137538021911,360.256437743915,379.744437743915,0.942602671944582,0.442821158690176,0.474387935386169,1.00164203612479,0.506282985674793,0.489530166642362,0.494984238990246,0.694852938758867,0.348614573346117,0.0987535953978907,0.16411537567506,0.0464896898957141,1.46361319213426
1978,2356.6,6672.83832006666,35.316306,2389.1,32.5,583.26,1878.04,2560.49,107.39,2461.3,5021.79,5129.18,673.67,1949.41,2632.18,128.87,2623.08,5255.26,5384.13,159.32,288.1,376.76,31.27,447.42,824.18,855.45,90.41,71.37,71.69,21.48,161.78,233.47,254.95,580.92,3932.55,5042.1,110.04,4513.47,9555.57,9665.61,670.967281143915,4081.99628096313,5183.27147460056,132.050049352826,4752.96356210705,9936.23503670761,10068.2850860604,158.680818845798,603.271312112628,741.913304094138,32.0416314368191,761.952130958426,1503.86543505256,1535.90706648938,90.0472811439152,149.446280963132,141.171474600565,22.0100493528261,239.493562107047,380.665036707612,402.675086060438,1.00402809336914,0.477562904476739,0.507822137601396,0.975917848055253,0.545323221379559,0.525535368376769,0.530662834523636,0.69831923371046,0.349732665704829,0.0990706950691674,0.164120761720422,0.0464913905201133,1.47842753359758
1979,2632.1,6884.64529756049,38.231454,2668.3,36.2000000000003,661.4,2123.04,2906.82,118.15,2784.44,5691.26,5809.41,763.92,2203.72,2988.21,141.78,2967.64,5955.85,6097.63,180.66,325.68,427.72,34.4,506.34,934.06,968.46,102.52,80.68,81.39,23.63,183.2,264.59,288.22,618.05,4121.55,5346.6,124.04,4739.6,10086.2,10210.24,713.850553371636,4278.17759721908,5496.30303424361,148.848,4992.02815059072,10488.3311848343,10637.1791848343,168.819039915331,632.25676576984,786.718046525069,36.1149047820567,801.075805685171,1587.79385221024,1623.9087569923,95.8005533716359,156.627597219082,149.703034243606,24.808,252.428150590718,402.131184834324,426.939184834324,1.07013995631421,0.515107180551006,0.543676355066771,0.952515317639471,0.587484175879821,0.564262061033888,0.568978789920707,0.682580684257747,0.354872535238023,0.100524296189355,0.164121828909591,0.0464905838074521,1.45257939437094
1980,2862.5,6868.51123645248,41.675698,2904,41.5,750,2400,3300,130,3150,6450,6580,866.25,2491.2,3392.4,156,3357.45,6749.85,6905.85,204.85,368.16,485.58,37.85,573.01,1058.59,1096.44,116.25,91.2,92.4,26,207.45,299.85,325.85,658,4320,5670,140,4978,10648,10788,759.99,4484.16,5828.76,168,5244.15,11072.91,11240.91,179.721733333333,662.688,834.314727272727,40.7615384615385,842.409733333333,1676.72446060606,1717.4859990676,101.99,164.16,158.76,28,266.15,424.91,452.91,1.13981762917933,0.555555555555556,0.582010582010582,0.928571428571429,0.632784250703094,0.605747558226897,0.609936967000371,0.645051769013193,0.369813100436681,0.104751091703057,0.164122480620155,0.0464883720930233,1.37977324958869
1981,3211,7051.10633527301,45.538953,3260.7,49.6999999999998,809.71,2588.11,3571.5,145.71,3397.82,6969.32,7115.03,935.21,2686.46,3671.5,174.85,3621.67,7293.17,7468.02,185.21,286.46,371.5,44.85,471.67,843.17,888.02,125.5,98.35,100,29.14,223.85,323.85,352.99,713.46,4517.1,6006,160.72,5230.56,11236.56,11397.28,824.04185029208,4688.75297649636,6174.16463670727,192.861793974333,5512.79482678844,11686.9594634957,11879.82125747,163.194139383236,499.966564790523,624.731625367493,49.4701255919292,663.160704173759,1287.89232954125,1337.36245513318,110.58185029208,171.652976496362,168.164636707266,32.1417939743326,282.234826788442,450.399463495708,482.54125747004,1.13490595127968,0.572958313962498,0.594655344655345,0.906607765057242,0.649609219662904,0.620236086489103,0.624274388275097,0.62751467844901,0.262587978822797,0.100856431018374,0.120983108825538,0.0464679480924968,1.34805954530165
1982,3345,6925.63991152904,48.298786,3394.4,49.4000000000001,874.17,2790.96,3865.33,163.33,3665.13,7530.46,7693.79,1009.67,2897.02,3973.56,196,3906.69,7880.25,8076.25,199.96,308.91,402.06,50.28,508.87,910.93,961.21,135.5,106.06,108.23,32.67,241.56,349.79,382.46,774.09,4723.65,6360.9,184.8,5497.74,11858.64,12043.44,894.077182127046,4903.15465753719,6539.00645067821,221.764525806649,5797.23183966424,12336.2382903424,12558.0028161491,177.067431277669,522.824663019176,661.641684927289,56.8893895793792,699.892094296845,1361.53377922413,1418.42316880351,119.987182127046,179.504657537192,178.106450678209,36.9645258066491,299.491839664238,477.598290342446,514.562816149096,1.12928729217533,0.590848178844749,0.607670298228238,0.883820346320346,0.666661209878968,0.635018855450541,0.638836578253389,0.584016372158109,0.272325859491779,0.104571001494768,0.120966049882743,0.0464500176616037,1.2597248890506
1983,3638.1,7235.50908869717,50.281189,3693.1,55,943.76,3009.71,4183.34,183.07,3953.47,8136.81,8319.88,1090.04,3124.08,4300.47,219.68,4214.12,8514.59,8734.27,215.87,333.12,435.14,56.35,548.99,984.13,1040.48,146.28,114.37,117.13,36.61,260.65,377.78,414.39,839.42,4938.3,6738.9,212.24,5777.72,12516.62,12728.86,969.527609561753,5125.9570736051,6927.58352966768,254.683362648167,6095.48468316685,13023.0682128345,13277.7515754827,192.003894422311,546.579735589143,700.962615039657,65.3286939422079,738.583630011454,1439.54624505111,1504.87493899332,130.107609561753,187.657073605098,188.683529667682,42.4433626481674,317.764683166851,506.448212834533,548.8915754827,1.12430011198208,0.609462770589069,0.620774903916069,0.862561251413494,0.68426126568958,0.650080453029652,0.653623340974761,0.578072122401828,0.270506583106567,0.1038399164399,0.120947889897884,0.0464285143686531,1.25231217308855
